location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مطوبس الثانوية بنين,المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,,,147
2,2,,,كفر الشيخ,مطوبس,,,195
3,3,,,كفر الشيخ,مطوبس,,,195
4,4,,,كفر الشيخ,مطوبس,,,195
5,5,,,كفر الشيخ,مطوبس,,,194
6,6,,,كفر الشيخ,مطوبس,,,195
7,7,,,كفر الشيخ,مطوبس,,,195
8,8,,,كفر الشيخ,مطوبس,,,194
9,9,,,كفر الشيخ,مطوبس,,,195
10,10,,,كفر الشيخ,مطوبس,,,195
11,11,,,كفر الشيخ,مطوبس,,,195
12,12,,,كفر الشيخ,مطوبس,,,194
13,13,,,كفر الشيخ,مطوبس,,,195
14,14,,,كفر الشيخ,مطوبس,,,195
15,15,,,كفر الشيخ,مطوبس,,,194
16,16,,,كفر الشيخ,مطوبس,,,195
17,17,,,كفر الشيخ,مطوبس,,,194
18,18,,,كفر الشيخ,مطوبس,,,193
19,19,,,كفر الشيخ,مطوبس,,,195
20,20,,,كفر الشيخ,مطوبس,,,195
21,21,,,كفر الشيخ,مطوبس,,,194
22,22,,,كفر الشيخ,مطوبس,,,195
23,23,,,كفر الشيخ,مطوبس,,,195
24,24,,,كفر الشيخ,مطوبس,,,195
25,25,,,كفر الشيخ,مطوبس,,,195
26,26,,,كفر الشيخ,مطوبس,,,195
27,27,,,كفر الشيخ,مطوبس,,,195
28,28,,,كفر الشيخ,مطوبس,,,195
29,29,,,كفر الشيخ,مطوبس,,,195
30,30,,,كفر الشيخ,مطوبس,,,194
31,31,,,كفر الشيخ,مطوبس,,,195
32,32,,,كفر الشيخ,مطوبس,,,62
33,33,الشهيد نعمان الشندويلى البتدائية,المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,,,147
34,34,,,كفر الشيخ,مطوبس,,,195
35,35,,,كفر الشيخ,مطوبس,,,194
36,36,,,كفر الشيخ,مطوبس,,,195
37,37,,,كفر الشيخ,مطوبس,,,195
38,38,,,كفر الشيخ,مطوبس,,,195
39,39,,,كفر الشيخ,مطوبس,,,195
40,40,,,كفر الشيخ,مطوبس,,,195
41,41,,,كفر الشيخ,مطوبس,,,194
42,42,,,كفر الشيخ,مطوبس,,,194
43,43,,,كفر الشيخ,مطوبس,,,194
44,44,,,كفر الشيخ,مطوبس,,,195
45,45,,,كفر الشيخ,مطوبس,,,194
46,46,,,كفر الشيخ,مطوبس,,,195
47,47,,,كفر الشيخ,مطوبس,,,195
48,48,,,كفر الشيخ,مطوبس,,,195
49,49,,,كفر الشيخ,مطوبس,,,195
50,50,,,كفر الشيخ,مطوبس,,,195
51,51,,,كفر الشيخ,مطوبس,,,195
52,52,,,كفر الشيخ,مطوبس,,,195
53,53,,,كفر الشيخ,مطوبس,,,194
54,54,,,كفر الشيخ,مطوبس,,,195
55,55,,,كفر الشيخ,مطوبس,,,195
56,56,,,كفر الشيخ,مطوبس,,,195
57,57,,,كفر الشيخ,مطوبس,,,195
58,58,,,كفر الشيخ,مطوبس,,,195
59,59,,,كفر الشيخ,مطوبس,,,195
60,60,,,كفر الشيخ,مطوبس,,,195
61,61,,,كفر الشيخ,مطوبس,,,195
62,62,,,كفر الشيخ,مطوبس,,,195
63,63,,,كفر الشيخ,مطوبس,,,194
64,64,,,كفر الشيخ,مطوبس,,,196
65,65,,,كفر الشيخ,مطوبس,,,17
66,66,نجيه سلم الرسمية للغات,الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,,,147
67,67,,,كفر الشيخ,مطوبس,,,195
68,68,,,كفر الشيخ,مطوبس,,,195
69,69,,,كفر الشيخ,مطوبس,,,195
70,70,,,كفر الشيخ,مطوبس,,,195
71,71,,,كفر الشيخ,مطوبس,,,195
72,72,,,كفر الشيخ,مطوبس,,,195
73,73,,,كفر الشيخ,مطوبس,,,195
74,74,,,كفر الشيخ,مطوبس,,,195
75,75,,,كفر الشيخ,مطوبس,,,195
76,76,,,كفر الشيخ,مطوبس,,,195
77,77,,,كفر الشيخ,مطوبس,,,195
78,78,,,كفر الشيخ,مطوبس,,,195
79,79,,,كفر الشيخ,مطوبس,,,195
80,80,,,كفر الشيخ,مطوبس,,,195
81,81,,,كفر الشيخ,مطوبس,,,194
82,82,,,كفر الشيخ,مطوبس,,,195
83,83,,,كفر الشيخ,مطوبس,,,67
84,84,عمرو البتدائية القديمة,,كفر الشيخ,مطوبس,,,147
85,85,,,كفر الشيخ,مطوبس,,,195
86,86,,,كفر الشيخ,مطوبس,,,195
87,87,,,كفر الشيخ,مطوبس,,,195
88,88,,,كفر الشيخ,مطوبس,,,195
89,89,,,كفر الشيخ,مطوبس,,,195
90,90,,,كفر الشيخ,مطوبس,,,194
91,91,,,كفر الشيخ,مطوبس,,,195
92,92,,,كفر الشيخ,مطوبس,,,195
93,93,,,كفر الشيخ,مطوبس,,,195
94,94,,,كفر الشيخ,مطوبس,,,194
95,95,,,كفر الشيخ,مطوبس,,,195
96,96,,,كفر الشيخ,مطوبس,,,195
97,97,,,كفر الشيخ,مطوبس,,,195
98,98,,,كفر الشيخ,مطوبس,,,194
99,99,,,كفر الشيخ,مطوبس,,,195
100,100,,,كفر الشيخ,مطوبس,,,195
101,101,,,كفر الشيخ,مطوبس,,,195
102,102,,,كفر الشيخ,مطوبس,,,195
103,103,,,كفر الشيخ,مطوبس,,,195
104,104,,,كفر الشيخ,مطوبس,,,195
105,105,,,كفر الشيخ,مطوبس,,,112
106,106,السعاده للتعليم الساسى,,كفر الشيخ,مطوبس,,,147
107,107,,,كفر الشيخ,مطوبس,,,195
108,108,,,كفر الشيخ,مطوبس,,,195
109,109,,,كفر الشيخ,مطوبس,,,195
110,110,,,كفر الشيخ,مطوبس,,,195
111,111,,,كفر الشيخ,مطوبس,,,195
112,112,,,كفر الشيخ,مطوبس,,,195
113,113,,,كفر الشيخ,مطوبس,,,195
114,114,,,كفر الشيخ,مطوبس,,,195
115,115,,,كفر الشيخ,مطوبس,,,195
116,116,,,كفر الشيخ,مطوبس,,,194
117,117,,,كفر الشيخ,مطوبس,,,194
118,118,,,كفر الشيخ,مطوبس,,,195
119,119,,,كفر الشيخ,مطوبس,,,195
120,120,,,كفر الشيخ,مطوبس,,,99
121,121,القنى البتدائية المشتركة,,كفر الشيخ,مطوبس,,,147
122,122,,,كفر الشيخ,مطوبس,,,195
123,123,,,كفر الشيخ,مطوبس,,,195
124,124,,,كفر الشيخ,مطوبس,,,195
125,125,,,كفر الشيخ,مطوبس,,,195
126,126,,,كفر الشيخ,مطوبس,,,194
127,127,,,كفر الشيخ,مطوبس,,,195
128,128,,,كفر الشيخ,مطوبس,,,195
129,129,,,كفر الشيخ,مطوبس,,,195
130,130,,,كفر الشيخ,مطوبس,,,194
131,131,,,كفر الشيخ,مطوبس,,,194
132,132,,,كفر الشيخ,مطوبس,,,195
133,133,,,كفر الشيخ,مطوبس,,,194
134,134,,,كفر الشيخ,مطوبس,,,195
135,135,,,كفر الشيخ,مطوبس,,,195
136,136,,,كفر الشيخ,مطوبس,,,195
137,137,,,كفر الشيخ,مطوبس,,,195
138,138,,,كفر الشيخ,مطوبس,,,195
139,139,,,كفر الشيخ,مطوبس,,,195
140,140,,,كفر الشيخ,مطوبس,,,195
141,141,,,كفر الشيخ,مطوبس,,,195
142,142,,,كفر الشيخ,مطوبس,,,195
143,143,,,كفر الشيخ,مطوبس,,,195
144,144,,,كفر الشيخ,مطوبس,,,194
145,145,,,كفر الشيخ,مطوبس,,,195
146,146,,,كفر الشيخ,مطوبس,,,193
147,147,,,كفر الشيخ,مطوبس,,,195
148,148,,,كفر الشيخ,مطوبس,,,195
149,149,,,كفر الشيخ,مطوبس,,,24
150,150,المنار البتدائية,,كفر الشيخ,مطوبس,,,148
151,151,,,كفر الشيخ,مطوبس,,,195
152,152,,,كفر الشيخ,مطوبس,,,195
153,153,,,كفر الشيخ,مطوبس,,,195
154,154,,,كفر الشيخ,مطوبس,,,195
155,155,,,كفر الشيخ,مطوبس,,,195
156,156,,,كفر الشيخ,مطوبس,,,194
157,157,,,كفر الشيخ,مطوبس,,,195
158,158,,,كفر الشيخ,مطوبس,,,195
159,159,,,كفر الشيخ,مطوبس,,,194
160,160,,,كفر الشيخ,مطوبس,,,195
161,161,,,كفر الشيخ,مطوبس,,,195
162,162,,,كفر الشيخ,مطوبس,,,194
163,163,,,كفر الشيخ,مطوبس,,,195
164,164,,,كفر الشيخ,مطوبس,,,195
165,165,,,كفر الشيخ,مطوبس,,,195
166,166,,,كفر الشيخ,مطوبس,,,195
167,167,,,كفر الشيخ,مطوبس,,,195
168,168,,,كفر الشيخ,مطوبس,,,195
169,169,,,كفر الشيخ,مطوبس,,,195
170,170,,,كفر الشيخ,مطوبس,,,195
171,171,,,كفر الشيخ,مطوبس,,,195
