location_id,location_number,location_name,location_address,governorate,district,total_voters
1,1,مطوبس الثانوية بنين,شارع المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,190
30,30,مطوبس الثانوية بنات,بندر مطوبس٨٠١,كفر الشيخ,مطوبس,190
31,31,عزبة الشاعر للتعليم الساسى,عزبة الشاعر٩٠١,كفر الشيخ,مطوبس,190
2,33,الشهيد نعمان الشندويلى البتدائية,بندر مطوبس_ شارع المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,190
3,66,نجيه سلم الرسمية للغات,شارع الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,190
4,77,عمرو البتدائية القديمة,عزبة عمرو٩٧,كفر الشيخ,مطوبس,190
5,78,السعاده للتعليم الساسى,قرية السعاده٠٨,كفر الشيخ,مطوبس,190
6,92,القنى البتدائية المشتركة,قرية القنى١٨,كفر الشيخ,مطوبس,190
7,106,المنار البتدائية,قرية بنى بكار٢٨,كفر الشيخ,مطوبس,190
8,121,الغنايم للتعليم الساسى,قرية الغنايم قومسيون شرق٣٨,كفر الشيخ,مطوبس,190
9,150,الشهيد/ رضا صبرى محمد فراج للتعليم الساسى,عزبة الفار قومسيون شرق٤٨,كفر الشيخ,مطوبس,190
10,191,الدوايدة للتعليم الساسى,قرية الدوايدة قومسيون غرب٥٨,كفر الشيخ,مطوبس,191
11,230,سعد زغلول البتدائية,قرية ابيانة٦٨,كفر الشيخ,مطوبس,190
12,264,منية المرشد الثانوية المشتركة,قرية منية المرشد٧٨,كفر الشيخ,مطوبس,190
13,294,فتح ا بركات العدادية بنات,قرية منية المرشد٨٨,كفر الشيخ,مطوبس,190
14,335,الشهيد البطل على محمد فهمى فليفل البتدائية,قرية برمبال٩٨,كفر الشيخ,مطوبس,190
15,391,الشهيد البطل على محمد فهمى فليفل البتدائية,قرية برمبال٠٩,كفر الشيخ,مطوبس,190
16,424,معدية مهدى تعليم اساسى,قرية معدية مهدى١٩,كفر الشيخ,مطوبس,190
17,491,عبدالحميد شلبى البتدائية,قرية خليج قبلى٢٩,كفر الشيخ,مطوبس,190
18,502,الخليج العدادية بنات,قرية خليج قبلى٣٩,كفر الشيخ,مطوبس,190
19,525,جزيرة الفرس للتعليم الساسى,قرية بريدعة٤٩,كفر الشيخ,مطوبس,190
20,562,اليسرى البتدائية,قرية اليسرى وقف قبلى٥٩,كفر الشيخ,مطوبس,190
21,585,طلمبات زغلول البتدائية,قرية وقف بحرى٦٩,كفر الشيخ,مطوبس,190
22,607,عرب المحضر للتعليم الساسى,قرية المحضر وقف بحرى٧٩,كفر الشيخ,مطوبس,190
23,654,الجزيرة الخضراء الثانوية المشتركة,قرية الجزيزة الخضراء٨٩,كفر الشيخ,مطوبس,191
24,675,الجزيرة الخضراء الثانوية المشتركة,قرية الجزيزة الخضراء٩٩,كفر الشيخ,مطوبس,190
25,734,الجزيرة الخضراء الثانوية التجارية,قرية الجزيزة الخضراء٠٠١,كفر الشيخ,مطوبس,190
26,758,الشهيد عبدالنبى نصار العدادية بنات,قرية برج مغيزل١٠١,كفر الشيخ,مطوبس,191
27,807,البصراط البتدائية,قرية وقف قبلى٢٠١,كفر الشيخ,مطوبس,190
28,840,مطوبس البتدائية الجديدة,مطوبس٤٠١,كفر الشيخ,مطوبس,190
29,869,النجارين للتعليم الساسى,النجارين عزب الغرب٥٠١,كفر الشيخ,مطوبس,190
