location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مطوبس الثانوية بنين,المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,,,152
2,2,,,كفر الشيخ,مطوبس,,,197
3,3,,,كفر الشيخ,مطوبس,,,197
4,4,,,كفر الشيخ,مطوبس,,,197
5,5,,,كفر الشيخ,مطوبس,,,197
6,6,,,كفر الشيخ,مطوبس,,,197
7,7,,,كفر الشيخ,مطوبس,,,197
8,8,,,كفر الشيخ,مطوبس,,,197
9,9,,,كفر الشيخ,مطوبس,,,197
10,10,,,كفر الشيخ,مطوبس,,,197
11,11,,,كفر الشيخ,مطوبس,,,197
12,12,,,كفر الشيخ,مطوبس,,,197
13,13,,,كفر الشيخ,مطوبس,,,197
14,14,,,كفر الشيخ,مطوبس,,,197
15,15,,,كفر الشيخ,مطوبس,,,196
16,16,,,كفر الشيخ,مطوبس,,,198
17,17,,,كفر الشيخ,مطوبس,,,196
18,18,,,كفر الشيخ,مطوبس,,,195
19,19,,,كفر الشيخ,مطوبس,,,197
20,20,,,كفر الشيخ,مطوبس,,,197
21,21,,,كفر الشيخ,مطوبس,,,196
22,22,,,كفر الشيخ,مطوبس,,,197
23,23,,,كفر الشيخ,مطوبس,,,197
24,24,,,كفر الشيخ,مطوبس,,,197
25,25,,,كفر الشيخ,مطوبس,,,197
26,26,,,كفر الشيخ,مطوبس,,,198
27,27,,,كفر الشيخ,مطوبس,,,197
28,28,,,كفر الشيخ,مطوبس,,,197
29,29,,,كفر الشيخ,مطوبس,,,197
30,30,,,كفر الشيخ,مطوبس,,,197
31,31,,,كفر الشيخ,مطوبس,,,197
32,32,,,كفر الشيخ,مطوبس,,,64
33,33,الشهيد نعمان الشندويلى البتدائية,المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,,,151
34,34,,,كفر الشيخ,مطوبس,,,197
35,35,,,كفر الشيخ,مطوبس,,,197
36,36,,,كفر الشيخ,مطوبس,,,197
37,37,,,كفر الشيخ,مطوبس,,,197
38,38,,,كفر الشيخ,مطوبس,,,197
39,39,,,كفر الشيخ,مطوبس,,,197
40,40,,,كفر الشيخ,مطوبس,,,197
41,41,,,كفر الشيخ,مطوبس,,,197
42,42,,,كفر الشيخ,مطوبس,,,197
43,43,,,كفر الشيخ,مطوبس,,,197
