location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مطوبس الثانوية بنين,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
2,2,الشهيد نعمان الشندويلى البتدائية,بندر مطوبس_ شارع المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,,,150
3,3,نجيه سلم الرسمية للغات,شارع الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,,,150
4,4,عمرو البتدائية القديمة,عزبة عمرو٩٧,كفر الشيخ,مطوبس,,,150
5,5,السعاده للتعليم الساسى,قرية السعاده٠٨,كفر الشيخ,مطوبس,,,150
6,6,القنى البتدائية المشتركة,قرية القنى١٨,كفر الشيخ,مطوبس,,,150
7,7,المنار البتدائية,قرية بنى بكار٢٨,كفر الشيخ,مطوبس,,,150
8,8,الغنايم للتعليم الساسى,قرية الغنايم قومسيون شرق٣٨,كفر الشيخ,مطوبس,,,150
9,9,الشهيد/ رضا صبرى محمد فراج للتعليم الساسى,عزبة الفار قومسيون شرق٤٨,كفر الشيخ,مطوبس,,,150
10,10,الدوايدة للتعليم الساسى,قرية الدوايدة قومسيون غرب٥٨,كفر الشيخ,مطوبس,,,150
11,11,سعد زغلول البتدائية,قرية ابيانة٦٨,كفر الشيخ,مطوبس,,,150
12,12,منية المرشد الثانوية المشتركة,قرية منية المرشد٧٨,كفر الشيخ,مطوبس,,,150
13,13,فتح ا بركات العدادية بنات,قرية منية المرشد٨٨,كفر الشيخ,مطوبس,,,150
14,14,الشهيد البطل على محمد فهمى فليفل البتدائية,قرية برمبال٩٨,كفر الشيخ,مطوبس,,,150
15,15,معدية مهدى تعليم اساسى,قرية معدية مهدى١٩,كفر الشيخ,مطوبس,,,150
16,16,عبدالحميد شلبى البتدائية,قرية خليج قبلى٢٩,كفر الشيخ,مطوبس,,,150
17,17,الخليج العدادية بنات,قرية خليج قبلى٣٩,كفر الشيخ,مطوبس,,,150
18,18,جزيرة الفرس للتعليم الساسى,قرية بريدعة٤٩,كفر الشيخ,مطوبس,,,150
19,19,اليسرى البتدائية,قرية اليسرى وقف قبلى٥٩,كفر الشيخ,مطوبس,,,150
20,20,طلمبات زغلول البتدائية,قرية وقف بحرى٦٩,كفر الشيخ,مطوبس,,,150
21,21,عرب المحضر للتعليم الساسى,قرية المحضر وقف بحرى٧٩,كفر الشيخ,مطوبس,,,150
22,22,الجزيرة الخضراء الثانوية المشتركة,قرية الجزيزة الخضراء٨٩,كفر الشيخ,مطوبس,,,150
23,23,الجزيرة الخضراء الثانوية التجارية,قرية الجزيزة الخضراء٠٠١,كفر الشيخ,مطوبس,,,150
24,24,الشهيد عبدالنبى نصار العدادية بنات,قرية برج مغيزل١٠١,كفر الشيخ,مطوبس,,,150
25,25,البصراط البتدائية,قرية وقف قبلى٢٠١,كفر الشيخ,مطوبس,,,150
26,26,مطوبس البتدائية الجديدة,مطوبس٤٠١,كفر الشيخ,مطوبس,,,150
27,27,النجارين للتعليم الساسى,النجارين عزب الغرب٥٠١,كفر الشيخ,مطوبس,,,150
28,28,مطوبس الثانوية بنات,بندر مطوبس٨٠١,كفر الشيخ,مطوبس,,,150
29,29,عزبة الشاعر للتعليم الساسى,عزبة الشاعر٩٠١,كفر الشيخ,مطوبس,,,150
