location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مطوبس الثانوية بنين,المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,0,0,152
33,33,الشهيد نعمان الشندويلى البتدائية,المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,0,0,151
66,66,نجيه سلم الرسمية للغات,الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,0,0,151
84,84,عمرو البتدائية القديمة,غير محدد,كفر الشيخ,مطوبس,0,0,151
106,106,السعاده للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
121,121,القنى البتدائية المشتركة,غير محدد,كفر الشيخ,مطوبس,0,0,151
150,150,المنار البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
191,191,الغنايم للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
230,230,الشهيد/ رضا صبرى محمد فراج للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,153
264,264,الدوايدة للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
294,294,سعد زغلول البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
335,335,منية المرشد الثانوية المشتركة,غير محدد,كفر الشيخ,مطوبس,0,0,153
391,391,فتح ا بركات العدادية بنات,غير محدد,كفر الشيخ,مطوبس,0,0,152
424,424,الشهيد البطل على محمد فهمى فليفل البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
491,491,معدية مهدى تعليم اساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
502,502,عبدالحميد شلبى البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
525,525,الخليج العدادية بنات,غير محدد,كفر الشيخ,مطوبس,0,0,152
562,562,جزيرة الفرس للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
585,585,اليسرى البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
607,607,طلمبات زغلول البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,152
654,654,عرب المحضر للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
675,675,الجزيرة الخضراء الثانوية المشتركة,غير محدد,كفر الشيخ,مطوبس,0,0,153
734,734,الجزيرة الخضراء الثانوية التجارية,غير محدد,كفر الشيخ,مطوبس,0,0,153
758,758,الشهيد عبدالنبى نصار العدادية بنات,غير محدد,كفر الشيخ,مطوبس,0,0,152
807,807,البصراط البتدائية,غير محدد,كفر الشيخ,مطوبس,0,0,149
840,840,مطوبس البتدائية الجديدة,غير محدد,كفر الشيخ,مطوبس,0,0,151
869,869,النجارين للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
980,980,مطوبس الثانوية بنات,غير محدد,كفر الشيخ,مطوبس,0,0,151
1007,1007,عزبة الشاعر للتعليم الساسى,غير محدد,كفر الشيخ,مطوبس,0,0,152
