location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مدرسةالجزيرة الخضراء الثانوية التجارية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,7720
2,8,مدرسةالسعاده للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,4983
3,9,مدرسةالشهيد البطل على محمد فهمى فليفل البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,10947
4,18,مدرسةالقنى البتدائية المشتركة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,9027
5,19,مدرسةمعدية مهدى تعليم اساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,3518
6,28,مدرسةالمنار البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,13660
7,29,مدرسةعبدالحميد شلبى البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,7210
8,38,مدرسةالغنايم للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,13483
9,39,مدرسةالخليج العدادية بنات,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,11902
10,48,مدرسةالشهيد/ رضا صبرى محمد فراج للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,11548
11,49,مدرسةجزيرة الفرس للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,7389
12,58,مدرسةالدوايدة للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,10339
13,59,مدرسةاليسرى البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,7547
14,67,مدرسةمطوبس الثانوية بنين,مركز مطوبس، شارع المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,4,مطوبس,10318
15,68,مدرسةسعد زغلول البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,13794
16,69,مدرسةطلمبات زغلول البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,16367
17,77,مدرسةالشهيد نعمان الشندويلى البتدائية,مركز مطوبس، بندر مطوبس_ شارع المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,4,مطوبس,10468
18,78,مدرسةمنية المرشد الثانوية المشتركة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,18648
19,79,مدرسةعرب المحضر للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,7237
20,87,مدرسةنجيه سلم الرسمية للغات,مركز مطوبس، شارع الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,4,مطوبس,5673
21,88,مدرسةفتح ا بركات العدادية بنات,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,10728
22,89,مدرسةالجزيرة الخضراء الثانوية المشتركة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,10201
23,97,مدرسةعمرو البتدائية القديمة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,6905
24,98,مدرسةالشهيد البطل على محمد فهمى فليفل البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,10995
25,99,مدرسةالجزيرة الخضراء الثانوية المشتركة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,9436
26,101,مدرسةالشهيد عبدالنبى نصار العدادية بنات,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,17348
27,201,مدرسةالبصراط البتدائية,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,5727
28,301,مدرسة الثانوية للبنات مطوبس,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,5149
29,401,مدرسةمطوبس البتدائية الجديدة,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,9542
30,501,مدرسةالنجارين للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,5573
31,601,مدرسة الثانوية للبنات مطوبس,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,15626
32,701,مدرسة الثانوية للبنات مطوبس,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,15084
33,801,مدرسةمطوبس الثانوية بنات,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,8811
34,901,مدرسةعزبة الشاعر للتعليم الساسى,مركز مطوبس - شارع النيل,كفر الشيخ,مطوبس,4,مطوبس,4826
