location_id,location_number,location_name,location_address,governorate,district,main_committee_id,police_department,total_voters
1,1,مطوبس الثانوية بنين,شارع المستشفى امام مدرسة التجارة٦٧,كفر الشيخ,مطوبس,,,150
2,33,الشهيد نعمان الشندويلى البتدائية,بندر مطوبس_ شارع المستشفى بجوار المستشفى المركزى٧٧,كفر الشيخ,مطوبس,,,150
3,66,نجيه سلم الرسمية للغات,شارع الدارة الزراعية بندر مطوبس٨٧,كفر الشيخ,مطوبس,,,150
4,84,عمرو البتدائية القديمة,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
5,106,السعاده للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
6,121,القنى البتدائية المشتركة,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
7,150,المنار البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
8,191,الغنايم للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
9,230,الشهيد/ رضا صبرى محمد فراج للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
10,264,الدوايدة للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
11,294,سعد زغلول البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
12,335,منية المرشد الثانوية المشتركة,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
13,391,فتح ا بركات العدادية بنات,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
14,424,الشهيد البطل على محمد فهمى فليفل البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
15,491,معدية مهدى تعليم اساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
16,502,عبدالحميد شلبى البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
17,525,الخليج العدادية بنات,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
18,562,جزيرة الفرس للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
19,585,اليسرى البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
20,607,طلمبات زغلول البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
21,654,عرب المحضر للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
22,675,الجزيرة الخضراء الثانوية المشتركة,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
23,734,الجزيرة الخضراء الثانوية التجارية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
24,758,الشهيد عبدالنبى نصار العدادية بنات,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
25,807,البصراط البتدائية,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
26,840,مطوبس البتدائية الجديدة,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
27,869,النجارين للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
28,980,مطوبس الثانوية بنات,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
29,1007,عزبة الشاعر للتعليم الساسى,مركز مطوبس - كفر الشيخ,كفر الشيخ,مطوبس,,,150
